OU Description,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Contribution Revenue
Botswana,297,UNAIDS,UN_AGY 1,UN AGENCY 1,UNAIDS,AGY_UNAIDS,-110343.35
Botswana,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Botswana,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
Brazil,-,-,-,-,-,-,0
Brazil,4,FOOD AND AGRICULTURE ORGANIZAT,UN_AGY 1,UN AGENCY 1,FAO,AGY_FOOD AND AGRICULTURE ORGAN,49600
Brazil,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,3448954.53
Brazil,35,UNITED NATIONS CHILDREN'S FUND,UN_AGY 1,UN AGENCY 1,UNICEF,AGY_UNITED NATIONS CHILDREN'S,55575
Brazil,37,WORLD FOOD PROGRAMME,UN_AGY 1,UN AGENCY 1,WFP,AGY_WORLD FOOD PROGRAMME,30000
Brazil,41,UNITED NATIONS ENVIRONMENT PRO,UN_AGY 1,UN AGENCY 1,UNEP,AGY_UNITED NATIONS ENVIRONMENT,0
Brazil,71,GOVERNMENT OF BRAZIL,BRA,Brazil,BRA_GOVT,Brazil Government,1348772.16
Brazil,296,UNITED NATIONS,UN_AGY 1,UN AGENCY 1,UN,United Nations,91228.43
Brazil,303,PAN AMERICAN HEALTH ORGANIZATI,UN_AGY 1,UN AGENCY 1,PAHO,AGY_PAN AMERICAN HEALTH ORGANI,0
Brazil,304,FORD FOUNDATION,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,FF,PRI_FORD FOUNDATION,0
Brazil,311,PRIVATE SECTOR,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PRIVSECT,PRIV_PRIVATE SECTOR,-2118.23
Brazil,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Brazil,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,249722.82
Brazil,11487,BRA-Cia Segurous Aliances do b,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,CIAALIANCA,PRIV_BRAZIL,0
Brazil,11488,BRA-Caixa Economica federal,BRA,Brazil,BRA_GOVT,Brazil Government,32835.82
Brazil,11534,Instituto Voluntarious em acao,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,NGO,PRIV_Instituto Voluntarious,-589.75
Brazil,11740,BRA-MJ/ Governo Federal,BRA,Brazil,BRA_GOVT,Brazil Government,343260
Brazil,11761,BRA-Banco do Brasil,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,32835.82
Brazil,11762,BRA-PETROBRAS,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,32835.82
Brazil,11801,BRA - VALE DO RIO DOCE S.A,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,32835.82
Brazil,11826,BRA-NATURA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,6671.16
Brazil,11827,BRA-BRASKEM,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,28524.94
