key,Business Unit,Fund Rollup Level 1,Fund Rollup Level 2,Donor,Donor Desc,Donor Short Desc,Donor Level 3,Donor Level 3 Descr,Donor Level 4,Donor Level 4 Descr,Contribution Revenue
45,UNDP1,DP_RR,CORE,206,GOVERNMENT OF RUSSIAN FEDERATI,RUS,RUS,Russian Federation,RUS_GOVT,Russian Federation Government,"-1,100,000"
46,UNDP1,DP_RR,CORE,208,GOVERNMENT OF SOUTH AFRICA,SAF,ZAF,South Africa,ZAF_GOVT,South Africa Government,"-106,877"
47,UNDP1,DP_RR,CORE,209,GOVERNMENT OF SAMOA,SAM,WSM,Samoa,WSM_GOVT,Samoa Government,"-6,000"
48,UNDP1,DP_RR,CORE,210,GOVERNMENT OF SAUDI ARABIA,SAU,SAU,Saudi Arabia,SAU_GOVT,Saudi Arabia Government,"-2,000,000"
49,UNDP1,DP_RR,CORE,215,GOVERNMENT OF SINGAPORE,SIN,SGP,Singapore,SGP_GOVT,Singapore Government,"-300,000"
50,UNDP1,DP_RR,CORE,220,GOVERNMENT OF SPAIN,SPA,ESP,Spain,ESP_GOVT,Spain Government,"-2,758,621"
51,UNDP1,DP_RR,CORE,221,GOVERNMENT OF SRI LANKA,SRL,LKA,Sri Lanka,LKA_GOVT,Sri Lanka Government,"-156,740"
52,UNDP1,DP_RR,CORE,231,GOVERNMENT OF SWEDEN,SWE,SWE,Sweden,SWE_GOVT,Sweden Government,"-72,903,397"
53,UNDP1,DP_RR,CORE,232,GOVERNMENT OF SWITZERLAND,SWI,CHE,Switzerland,CHE_GOVT,Switzerland Government,"-63,474,388"
54,UNDP1,DP_RR,CORE,236,GOVERNMENT OF THAILAND,THA,THA,Thailand,THA_GOVT,Thailand Government,"-865,112"
55,UNDP1,DP_RR,CORE,244,GOVERNMENT OF TURKEY,TUR,TUR,Turkey,TUR_GOVT,Turkey Government,"-3,000,000"
56,UNDP1,DP_RR,CORE,246,GOVERNMENT OF UNITED ARAB EMIR,UAE,ARE,United Arab Emirates,ARE_GOVT,United Arab Emirates Governmen,"-324,000"
57,UNDP1,DP_RR,CORE,253,GOVERNMENT OF UNITED STATES OF,USA,USA,United States of America,USA_GOVT,United States of America Gover,"-73,195,103"
58,UNDP1,DP_RR,CORE,256,GOVERNMENT OF VIET NAM,VIE,VNM,Viet Nam,VNM_GOVT,Viet Nam Government,"-29,000"
59,UNDP1,DP_RR,CORE,313,INCOME GENERATED FROM PROJECTS,IGP,UN_AGENCIES,UN Agencies,IGP,AGY_INCOME GENERATED FROM PROJ,-25
60,UNDP1,DP_RR,CORE,551,DEPARTMENT FOR INT'L DEVELOPME,DFID,GBR,United Kingdom,GBR_INTL_DEVT_AGENCY,Great Britain Intl Devt Agency,"-90,323,920"
