key,OU Description,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Expenses
464,"Cameroon, Republic of",253,GOVERNMENT OF UNITED STATES OF,USA,United States of America,USA_GOVT,United States of America Gover,0
465,"Cameroon, Republic of",280,EUROPEAN UNION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,0
466,"Cameroon, Republic of",10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,2287.56
467,"Cameroon, Republic of",10420,COMMONWEALTH SECRETARIAT,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,0
468,"Cameroon, Republic of",10712,KOREA INTERN. COOPERATION AGEN,KOR,Republic of Korea,KOR_MIN,Republic of Korea Ministry,0
469,"Cameroon, Republic of",10869,UN DEMOCRACY FUND (UNDEF),UN_AGY 1,UN AGENCY 1,UN,United Nations,0
470,"Cameroon, Republic of",10950,CARE YAOUNDE,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,CARE,PRIV_CARE INTERNATIONAL,0
471,"Cameroon, Republic of",10977,COMMON FUND - CHOC,MUTLI_AGY2,MULTI-LATERAL AGENCY2,COMMON_FUND,COMMON FUND,0
472,"Cameroon, Republic of",11140,Japanese international Coopera,JPN,Japan,JPN_GOVT,Japan Government,34315.95
473,Cape Verde,4,FOOD AND AGRICULTURE ORGANIZAT,UN_AGY 1,UN AGENCY 1,FAO,AGY_FOOD AND AGRICULTURE ORGAN,2000
474,Cape Verde,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,54663.51
475,Cape Verde,56,GOVERNMENT OF AUSTRIA,AUT,Austria,AUT_GOVT,Austria Government,0
476,Cape Verde,92,GOVERNMENT OF CAPE VERDE,CPV,Cape Verde,CPV_GOVT,Cape Verde Government,92545.46
477,Cape Verde,112,GOVERNMENT OF FRANCE,FRA,France,FRA_GOVT,France Government,31732.07
478,Cape Verde,155,GOVERNMENT OF LUXEMBOURG,LUX,Luxembourg,LUX_GOVT,Luxembourg Government,188.04
479,Cape Verde,199,GOVERNMENT OF PORTUGAL,PRT,Portugal,PRT_GOVT,Portugal Government,0
480,Cape Verde,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,282126.63
481,Cape Verde,10174,SHELL BP DJIBOUTI,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,SHELL DJIB,PRIV_SHELL BP DJIBOUTI,0
482,Cape Verde,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,-46082.3
483,Central African Republic,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,102811.56
484,Central African Republic,38,UNOCHA,UN_AGY 1,UN AGENCY 1,OCHA,AGY_UNOCHA1,0
485,Central African Republic,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,0
486,Central African Republic,280,EUROPEAN UNION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,0
487,Central African Republic,327,"GLOBAL FUND TO FIGHT AIDS, TUB",FUNDS_GFATM,FUNDS_GFATM,GFATM,GFATM,-0.01
488,Central African Republic,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,188.32
489,Central African Republic,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,7036332.69
490,Central African Republic,11363,Peacebuilding Fund,MDTF1,BU,PBF,PEACEBUILDING,996180.72
491,Central African Republic,11445,UNOPS - EIF Trust Fund manager,UN_AGY 1,UN AGENCY 1,EIF TFM,MULITAG_EIF TF,1278.4
492,Central African Republic,12246,MDTFO CAR UN Window,MDTF1,BU,CAR,UN Window,0
493,Chad,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,192173.85
494,Chad,81,GOVERNMENT OF CHAD,TCD,Chad,TCD_GOVT,Chad Government,-2260831.03
495,Chad,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,1188943.17
496,Chad,253,GOVERNMENT OF UNITED STATES OF,USA,United States of America,USA_GOVT,United States of America Gover,21701.62
497,Chad,280,EUROPEAN UNION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,1139.4
498,Chad,327,"GLOBAL FUND TO FIGHT AIDS, TUB",FUNDS_GFATM,FUNDS_GFATM,GFATM,GFATM,2835787.04
499,Chad,11207,US Department of State,USA,United States of America,USA_GOVT,United States of America Gover,0
500,Chad,11363,Peacebuilding Fund,MDTF1,BU,PBF,PEACEBUILDING,426369.4
501,Chad,11445,UNOPS - EIF Trust Fund manager,UN_AGY 1,UN AGENCY 1,EIF TFM,MULITAG_EIF TF,151618.44
502,Chad,11776,UN Tr Fund for Human Security,UN_AGY 1,UN AGENCY 1,UN,United Nations,17118.58
503,Chile,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,61394.37
504,Chile,35,UNITED NATIONS CHILDREN'S FUND,UN_AGY 1,UN AGENCY 1,UNICEF,AGY_UNITED NATIONS CHILDREN'S,3818.19
505,Chile,78,GOVERNMENT OF CANADA,CAN,Canada,CAN_GOVT,Canada Government,50860.45
506,Chile,280,EUROPEAN UNION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,172228.48
507,Chile,313,INCOME GENERATED FROM PROJECTS,UN_AGY 1,UN AGENCY 1,IGP,AGY_INCOME GENERATED FROM PROJ,0
508,Chile,580,CHI-AGENCIA DE COOPERACION INT,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,AGCI,PRIV_CHI-AGENCIA DE COOPERACIO,0
509,Chile,1185,CHI-INSTITUTO NACIONAL DE LA J,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,INJ,PRIV_CHI-INSTITUTO NACIONAL DE,1743878.04
510,Chile,1345,CHI-MINISTERIO DE EDUCACION,CHL,Chile,CHL_MIN,Chile Ministry,956657.83
511,Chile,1377,CHI-MINISTERIO DE VIVIENDA Y U,CHL,Chile,CHL_MIN,Chile Ministry,1058873.45
512,Chile,1431,CHI-MINISTERIO DE RELACIONES E,CHL,Chile,CHL_MIN,Chile Ministry,969092.78
513,Chile,1682,CHI-SECRETARIA GENERAL DE LA P,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,SEGPRES,PRIV_CHI-SECRETARIA GENERAL DE,484778.17
514,Chile,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,254690.16
515,Chile,10211,SERVICIO NACIONAL DE LA MUJER,UN_AGY 1,UN AGENCY 1,SERNAM,AGY_SERVICIO NACIONAL DE LA MU,58.1
516,Chile,10503,MINISTRY OF FOREIGN AFFAIRS,NOR,Norway,NOR_MIN,Norway Ministry,207.42
517,Chile,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,0
518,Chile,11183,CHL-MINISTERIO DEL TRABAJO,CHL,Chile,CHL_MIN,Chile Ministry,174408.16
519,Chile,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,25848.47
520,Chile,11372,GOB-REG METROPOLITANO SANTIAGO,CHL,Chile,CHL_GOVT,Chile Government,83307.05
521,Chile,11385,MINISTERIO SEC GRAL DE GOBEIRN,CHL,Chile,CHL_MIN,Chile Ministry,3.24
522,Chile,11578,SUBSECRETARIA DE MEDIO AMBIENT,CHL,Chile,CHL_MIN,Chile Ministry,26565.35
523,Chile,11658,AGENCIA CHILENA DE EFICIENCIA,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,ACHEE,PRIV,66528.84
524,Chile,11712,CONSEJO PARA LA TRANSPARENCIA,CHL,Chile,CHL_MIN,Chile Ministry,103879.29
525,Chile,11724,European Comm. Humanit. Aid Of,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,162504.17
526,Chile,11737,SOUTH SOUTH NORTH,MUTLI_AGY2,MULTI-LATERAL AGENCY2,SSN,SOUTH SOUTH NORTH,526.32
527,Chile,11906,DANISH GOV/MIN of FOREIGN AFF,DNK,Denmark,DNK_MIN,Denmark Ministry,616286.51
528,Chile,11964,"GOB, REGIONAL ARICA Y PARINACO",CHL,Chile,CHL_GOVT,Chile Government,184266.98
529,Chile,12086,CONGRESO NACIONAL,CHL,Chile,CHL_GOVT,Chile Government,7989.49
530,Chile,12238,FUNDACION NAC. SUP. POBREZA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,CHL -,FUNASUPO,4033.92
531,China,-,-,-,-,-,-,1000
532,China,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,140264.31
533,China,55,GOVERNMENT OF AUSTRALIA,AUS,Australia,AUS_GOVT,Australia Government,0.01
534,China,89,GOVERNMENT OF CHINA,CHN,People's Republic of China,CHN_GOVT,People's Republic of China Gov,6267416.11
535,China,171,GOVERNMENT OF MONGOLIA,MNG,Mongolia,MNG_GOVT,Mongolia Government,10.83
536,China,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,1453313.89
537,China,204,GOVERNMENT OF REPUBLIC OF KORE,KOR,Republic of Korea,KOR_GOVT,Republic of Korea Government,229525
538,China,206,GOVERNMENT OF RUSSIAN FEDERATI,RUS,Russian Federation,RUS_GOVT,Russian Federation Government,165212.38
539,China,210,GOVERNMENT OF SAUDI ARABIA,SAU,Saudi Arabia,SAU_GOVT,Saudi Arabia Government,0.01
540,China,220,GOVERNMENT OF SPAIN,ESP,Spain,ESP_GOVT,Spain Government,-12480.09
541,China,248,GOVERNMENT OF UNITED KINGDOM,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,0
542,China,250,ALLOCATED INTEREST,UN_AGY 1,UN AGENCY 1,UND,AGY_UNDETERMINED,0
543,China,280,EUROPEAN UNION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,372947.2
544,China,297,UNAIDS,UN_AGY 1,UN AGENCY 1,UNAIDS,AGY_UNAIDS,41540.86
545,China,304,FORD FOUNDATION,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,FF,PRI_FORD FOUNDATION,0.01
546,China,311,PRIVATE SECTOR,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PRIVSECT,PRIV_PRIVATE SECTOR,0
547,China,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,558115.51
548,China,1622,CPR-PRIVATE SECTOR,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PRIVSECT,PRIV_PRIVATE SECTOR,215571.74
549,China,10282,SWISS AGY FOR DEVELOPMENT & CO,CHE,Switzerland,CHE_MIN,Switzerland Ministry,9852.35
550,China,10537,GUANGXI STORA ENSO FORESTRY CO,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,STORA ENSO,PRIV_STORA ENSO,11591.16
551,China,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,0
552,China,10737,COCA COLA COMPANY,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,COCA COLA,PRIV_COCA COLA,710075.54
553,China,10869,UN DEMOCRACY FUND (UNDEF),UN_AGY 1,UN AGENCY 1,UN,United Nations,0
554,China,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,454294.6
555,China,11401,MDTFO/JP_FM_Eliminate_Violence,MDTF1,BU,FM_AEVAM,UNIFEM ELIM VIOLENCE,-169
556,China,11823,Tianyan Green Energy,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,CHINA,CWDF,8000.92
557,China,11863,China Women's Dev Foundation,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,CHINA,CWDF,124511.71
558,China,11887,The Peace and Dev Foundation,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,CHINA,CWDF,0
559,China,11906,DANISH GOV/MIN of FOREIGN AFF,DNK,Denmark,DNK_MIN,Denmark Ministry,100494.85
560,China,11924,MPTF/JP_UN PART RIGHTS DISAB,MDTF1,BU,UN_PRPD_DISABILITIES,Rights of Persons- Disabilitie,0
561,China,11938,the Macau Government,CHN,People's Republic of China,CHN_GOVT,People's Republic of China Gov,339408.28
562,China,12015,Sunshine Kaidi New Energy,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,KAIDI,Sunshine Kaidi New Energy,33971.75
563,China,12024,China Business Network,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,CBN,China Business Network,13273.95
564,China,12068,Hainan Cihang Foundation,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,HNA,Hainan Cihang Foundation,3991
565,China,12163,ZHENFA New Energy Science & Te,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,CHN-,ZHENFA,38195.57
566,China,12164,SK the Happiness Foundation,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,KOR-,SKHF,14162.16
567,China,12170,China Minmetals Corporation,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,CHN-MINMETAL,CORPORATION,12490.55
568,China,12198,Wuhan Kaidi Electric Power Co,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,CHN-WUHAN,Kaidi,1472.44
569,China,12209,Three-W International Corp.,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,USA-THREE-W,Three-W,22690.18
570,China,12239,CITIC Environment Protection C,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,CHN-CITIC,CITIC,0
571,China,12250,China Machinery Engineering Co,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,CHN-CMEC,CMEC,0
572,China,12281,Baidu Foundation,-,-,-,-,0
573,China,12289,CHENGDU BEIYOU BMPST Institute,-,-,-,-,0
574,China,55460,FRIDTJOF NANSEN Inst.NORWAY,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,NOR-,FRIDT NANSEN,35512.68
575,Colombia,-,-,-,-,-,-,0
576,Colombia,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,-38.91
577,Colombia,32,UN Women,UN_AGY 1,UN AGENCY 1,UNIFEM,AGY_UN DEVELOPMENT FUND FOR WO,38505.99
578,Colombia,78,GOVERNMENT OF CANADA,CAN,Canada,CAN_GOVT,Canada Government,5898.23
579,Colombia,87,GOVERNMENT OF COLOMBIA,COL,Colombia,COL_GOVT,Colombia Government,640493.81
580,Colombia,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,13756.87
581,Colombia,231,GOVERNMENT OF SWEDEN,SWE,Sweden,SWE_GOVT,Sweden Government,0
582,Colombia,248,GOVERNMENT OF UNITED KINGDOM,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,120732.01
583,Colombia,280,EUROPEAN UNION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,206965.31
584,Colombia,550,CANADIAN INTERNATIONAL DEVELOP,CAN,Canada,CAN_MIN,Canada Ministry,806773.57
585,Colombia,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,3376631.32
586,Colombia,572,COL-AGENCIA PRESIDENCIAL DE CO,COL,Colombia,COL_MIN,Colombia Ministry,437488.76
587,Colombia,594,COL-ALCALDIA DE RIOHACHA,COL,Colombia,COL_MIN,Colombia Ministry,51948.8
588,Colombia,595,COL-ALCALDIA DE SANTA MARTA,COL,Colombia,COL_MIN,Colombia Ministry,82843.61
589,Colombia,596,COL-ALCALDIA DE VALLEDUPAR,COL,Colombia,COL_MIN,Colombia Ministry,48886.05
590,Colombia,599,COL-ALCALDIA DE BUCARAMANGA,COL,Colombia,COL_MIN,Colombia Ministry,6285.59
591,Colombia,600,COL-ALCALDIA MAYOR DE SANTAFE,COL,Colombia,COL_MIN,Colombia Ministry,64195.5
592,Colombia,602,COL-ALCALDIA DE BARRANQUILLA,COL,Colombia,COL_MIN,Colombia Ministry,62172.18
593,Colombia,603,COL-ALCALDIA SANTIAGO DE CALI,COL,Colombia,COL_MIN,Colombia Ministry,505.02
594,Colombia,604,COL-ALCALDIA  MAYOR DE CARTAGE,COL,Colombia,COL_MIN,Colombia Ministry,359615.04
595,Colombia,607,COL-ALCALDIA DE IBAGUE,COL,Colombia,COL_MIN,Colombia Ministry,755.23
596,Colombia,612,COL-ALCALDIA DE PASTO,COL,Colombia,COL_MIN,Colombia Ministry,58570.26
597,Colombia,729,COL-CORPORACION AUTONOMA REGIO,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,CAR1,PRIV_COL-CORPORACION AUTONOMA,23322.41
598,Colombia,735,COL-CAMARA DE COMERCIO DE BOGO,COL,Colombia,COL_GOVT,Colombia Government,1753.16
599,Colombia,737,COL-CCF- COST SHARING - COLOMB,UN_AGY 1,UN AGENCY 1,CCF - C.S,AGY_COL-CCF- COST SHARING - CO,0
600,Colombia,830,COL-CORPORACION AUTONOMA REGIO,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,CAR3,PRIV_COL-CORPORACION AUTONOMA,883.51
601,Colombia,847,COL-DEPARTAMENTO ADMINISTRATIV,COL,Colombia,COL_MIN3,Colombia Ministry3,25532.18
602,Colombia,848,COL-UNIDAD ESP. ADM. ORG. SOLI,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,DANSOCIAL,PRIV_COL-DANSOCIAL,120.16
603,Colombia,850,COL-DEPARTAMENTO ADMINISTRATIV,COL,Colombia,COL_MIN1,Colombia Ministry1,6693336.92
604,Colombia,877,COL-DEPARTAMENTO NACIONAL DE P,COL,Colombia,COL_MIN,Colombia Ministry,10515434.18
605,Colombia,886,COL-EMPRESA DE ACUEDUCTO Y ALC,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,64072.52
606,Colombia,893,COL-EMPRESA COLOMBIANADE PETRO,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ECOPETROL,PRIV_COL-EMPRESA COLOMBIANADE,1425598.02
607,Colombia,1023,COL-GOBERNACION DE BOLIVAR,COL,Colombia,COL_GOVT,Colombia Government,285.87
608,Colombia,1026,COL-GOBERNACION DE CUNDIAMARCA,COL,Colombia,COL_GOVT,Colombia Government,94577.69
609,Colombia,1027,COL-GOBERNACION DE LA GUAJIRA,COL,Colombia,COL_GOVT,Colombia Government,736.82
610,Colombia,1029,COL-GOBRENACION DEL META,COL,Colombia,COL_GOVT,Colombia Government,201646.49
611,Colombia,1032,COL-GOBERNACION DE SANTANDER,COL,Colombia,COL_GOVT,Colombia Government,13745.39
612,Colombia,1033,COL-GOBERNACION DEL TOLIMA,COL,Colombia,COL_GOVT,Colombia Government,147860.99
613,Colombia,1037,COL-GOBERNACIÓN DEL ATLÁNTICO,COL,Colombia,COL_GOVT,Colombia Government,98076.99
614,Colombia,1125,COL-INSTITUTO COLOMBIANO DE BI,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ICBF,PRIV_COL-INSTITUTO COLOMBIANO,1459386.23
615,Colombia,1132,"COL-INSTITUTO DE HIDROLOGIA ,",PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,IDEAM,PRIV_COL-INSTITUTO DE HIDROLOG,67710.3
616,Colombia,1351,COL-EMPRESA NACIONAL MINERA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,MINERCOL,PRIV_COL-EMPRESA NACIONAL MINE,31690.25
617,Colombia,1354,COL-MINISTERIO DE HACIENDA Y C,COL,Colombia,COL_MIN,Colombia Ministry,0
618,Colombia,1356,COL-MINISTERIO DEL INTERIOR,COL,Colombia,COL_MIN,Colombia Ministry,1779612.6
619,Colombia,1360,COL-MINISTERIO DE MINAS  Y ENE,COL,Colombia,COL_MIN,Colombia Ministry,233227.04
620,Colombia,1373,COL-MINISTERIO DE TRABAJO Y SE,COL,Colombia,COL_MIN,Colombia Ministry,3823756.87
621,Colombia,1636,COL-RED DE SOLIDARIDAD SOCIAL,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,REDSOLIDAR,PRIV_COL-RED DE SOLIDARIDAD SO,0
622,Colombia,1761,COL-UNIDAD ADMTIVA ESPECIAL SI,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,UAESPNN,PRIV_COL-UNIDAD ADMTIVA ESPECI,2534.34
623,Colombia,1824,COL-VEEDURIA DISTRITAL,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,VEEDIST.,PRIV_COL-VEEDURIA DISTRITAL,82105.05
624,Colombia,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,1727714.78
625,Colombia,10214,INCODER,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,INCODER,PRIV_INCODER,434026.62
626,Colombia,10216,AG. ESPANOLA DE COOPERACION IN,ESP,Spain,ESP_MIN,Spain Ministry,97143.28
627,Colombia,10267,MINISTERIO DE COMUNICACIONES,COL,Colombia,COL_GOVT,Colombia Government,417307.23
628,Colombia,10465,AGENCIA CATALANA DE COOP AL DE,ESP,Spain,ESP_GOVT,Spain Government,0
629,Colombia,10480,USAID,USA,United States of America,USAID,USAID,189554.85
630,Colombia,10481,ALCALDIA DE SOACHA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ALC.SOACHA,PRIV_ALC.SOACHA,31023.23
631,Colombia,10712,KOREA INTERN. COOPERATION AGEN,KOR,Republic of Korea,KOR_MIN,Republic of Korea Ministry,727068.77
632,Colombia,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,2544.5
633,Colombia,10992,DPAD-FNC-FIDUPREVISORA S.A.,COL,Colombia,COL_MIN,Colombia Ministry,190751.71
634,Colombia,11081,COL-ALCALDIA DE TUNJA,COL,Colombia,COL_MIN,Colombia Ministry,184699.41
635,Colombia,11130,COL-CONGRESO DE LA REPUBLICA,COL,Colombia,COL_MIN,Colombia Ministry,106157.11
636,Colombia,11209,FNC,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,FNC,PRIV_COLOMBIA,118.86
637,Colombia,11232,ISAGEN S.A.E.S.P.,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ISAGEN,PRIV_COLOMBIA,3882.82
638,Colombia,11241,FUN. ANTONIO RESTREPO BARCO,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ANTRESBA,PRIV_FOUNDATION COLOMBIA,-1229
639,Colombia,11362,UNOCHA/Central_Emg_Resp_Fund,UN_AGY 1,UN AGENCY 1,OCHA,AGY_UNOCHA1,58456.45
640,Colombia,11567,ISA SA ESP,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ISA SA ESP,PRIV_COLOMBIA,19446.24
641,Colombia,11598,EUROPE AID,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,-85000
642,Colombia,11631,NIMD,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,COL_NIMD,PRIV,47964.31
643,Colombia,11653,SETP Santa Marta S.A.S,COL,Colombia,COL_MIN,Colombia Ministry,15.05
644,Colombia,11660,Dist. Turist y Cultu Cartagena,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,DIS_CTGNA,PRIV,66999.45
645,Colombia,11737,SOUTH SOUTH NORTH,MUTLI_AGY2,MULTI-LATERAL AGENCY2,SSN,SOUTH SOUTH NORTH,38489.26
646,Colombia,11755,Instituto von Humboldt,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,COLOMBIA,PRIVATE NATIONAL,5155.04
647,Colombia,11756,Corporacion Regional Guavio,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,COLOMBIA,PRIVATE NATIONAL,9617.85
648,Colombia,11775,Gobernacion Quindio,COL,Colombia,COL_GOVT,Colombia Government,159.87
649,Colombia,11787,FUNDACION MAMONAL,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,COLOMBIA,PRIVATE NATIONAL,53946.1
650,Colombia,11797,Alcaldia de Floridablanca,COL,Colombia,COL_MIN,Colombia Ministry,2443.29
651,Colombia,11888,Gobernacion de san Andres,COL,Colombia,COL_GOVT,Colombia Government,28816.37
652,Colombia,11893,Departamento para la Prosperid,COL,Colombia,COL_GOVT,Colombia Government,3976848.24
653,Colombia,11898,"Ministerio de Comercio, Indust",COL,Colombia,COL_MIN,Colombia Ministry,185989.55
654,Colombia,11907,Fondo Attencion emergenc Bogot,COL,Colombia,COL_GOVT,Colombia Government,237246.76
655,Colombia,11946,Secreteria de Educacion y Cult,COL,Colombia,COL_MIN,Colombia Ministry,80305.79
656,Colombia,11947,Agencia Nacional de Hydrocarbu,COL,Colombia,COL_MIN,Colombia Ministry,1816332.58
657,Colombia,11951,Ministerio de Justicia,COL,Colombia,COL_MIN,Colombia Ministry,73946.45
658,Colombia,11983,AGENCIA NACIONAL PARALA  SUPER,COL,Colombia,COL_GOVT,Colombia Government,503736.35
659,Colombia,11998,Alcaldia de Monteria,COL,Colombia,COL_GOVT,Colombia Government,44645.74
660,Colombia,12033,Area Metropolitana de Bucarama,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,AMB,Area Metropolitana de Bucarama,36021.74
661,Colombia,12066,Federacion Nacional de Cultiva,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,FEDEPALMA,FEDEPALMA,4492.15
662,Colombia,12092,SECRETARIA EDUCACION DE BOGOTA,COL,Colombia,COL_GOVT,Colombia Government,534440.04
663,Colombia,12129,Camara de Comercio de Barranqu,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,COL-,CAM COMERCIO BAR,0
664,Colombia,12132,I. VIS Y REFORMA URBANA M.B/MA,COL,Colombia,COL_GOVT,Colombia Government,83702
665,Colombia,12137,Corporacion Autonoma Regional,COL,Colombia,COL_GOVT,Colombia Government,87164.38
666,Colombia,12173,Repsol Colombia S.A.,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,COL -,REPSOL,217660.67
667,Colombia,12270,Sustainable DG Fund,-,-,-,-,0
668,Colombia,12282,Organizacion de Estados lberoa,-,-,-,-,-16769.61
669,Colombia,12283,FUNDACION PROMIGAS,-,-,-,-,0
670,Comoros,-,-,-,-,-,-,0
671,Comoros,6,WORLD HEALTH ORGANIZATION,UN_AGY 1,UN AGENCY 1,WHO,AGY_WORLD HEALTH ORGANIZATION,15006.04
672,Comoros,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
673,Comoros,15,WORLD BANK (INT'L. BANK FOR RE,IFI_WB,IFI_WB,WB,WORLD BANK,108910.54
674,Comoros,31,UNITED NATIONS POPULATION FUND,UN_AGY 1,UN AGENCY 1,UNFPA,AGY_UNITED NATIONS POPULATION,20469.61
675,Comoros,35,UNITED NATIONS CHILDREN'S FUND,UN_AGY 1,UN AGENCY 1,UNICEF,AGY_UNITED NATIONS CHILDREN'S,1789.22
676,Comoros,55,GOVERNMENT OF AUSTRALIA,AUS,Australia,AUS_GOVT,Australia Government,-284
