Region Code Description,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Expenses,Expenses
Africa,156,GOVERNMENT OF MADAGASCAR,MDG,Madagascar,MDG_GOVT,Madagascar Government,0.00%,0
Africa,159,GOVERNMENT OF MAURITIUS,MUS,Mauritius,MUS_GOVT,Mauritius Government,0.04%,"649,451"
Africa,162,GOVERNMENT OF MAURITANIA,MRT,Mauritania,MRT_GOVT,Mauritania Government,0.00%,0
Africa,163,"GOVERNMENT OF MACEDONIA, THE F",MKD,Macedonia,MKD_GOVT,Macedonia Government,0.00%,0
Africa,167,GOVERNMENT OF MALI,MLI,Mali,MLI_GOVT,Mali Government,0.04%,"659,213"
Africa,168,GOVERNMENT OF MALAWI,MWI,Malawi,MWI_GOVT,Malawi Government,0.09%,"1,602,983"
Africa,169,GOVERNMENT OF MONACO,MCO,Monaco,MCO_GVT,MONACO,0.00%,"13,631"
Africa,174,GOVERNMENT OF MOZAMBIQUE,MOZ,Mozambique,MOZ_GOVT,Mozambique Government,0.00%,0
Africa,176,GOVERNMENT OF NAMIBIA,NAM,Namibia,NAM_GOVT,Namibia Government,0.00%,0
Africa,177,GOVERNMENT OF NETHERLANDS ANTI,NAN,Netherlands Antilles,NAN_GOVT,Neth Antilles Government,0.00%,0
Africa,178,GOVERNMENT OF NAURU,NRU,Nauru,NRU_GOVT,Nauru Government,0.00%,0
Africa,181,GOVERNMENT OF NIGER,NER,Niger,NER_GOVT,Niger Government,0.00%,"4,516"
Africa,182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,0.48%,"8,741,257"
Africa,185,GOVERNMENT OF NIGERIA,NGA,Nigeria,NGA_GOVT,Nigeria Government,0.04%,"808,301"
Africa,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,1.15%,"20,978,342"
Africa,188,GOVERNMENT OF NEW ZEALAND,NZL,New Zealand,NZL_GOVT,New Zealand Government,0.00%,0
Africa,190,GOVERNMENT OF PAKISTAN,PAK,Pakistan,PAK_GOVT,Pakistan Government,0.00%,0
Africa,192,GOVERNMENT OF PANAMA,PAN,Panama,PAN_GOVT,Panama Government,0.00%,0
Africa,198,GOVERNMENT OF POLAND,POL,Poland,POL_GOVT,Poland Government,0.00%,0
Africa,199,GOVERNMENT OF PORTUGAL,PRT,Portugal,PRT_GOVT,Portugal Government,0.00%,0
Africa,200,GOVERNMENT OF CONGO,COG,Congo,COG_GOVT,Congo Government,0.30%,"5,419,853"
Africa,202,GOVERNMENT OF QATAR,QAT,Qatar,QAT_GOVT,Qatar Government,0.00%,0
Africa,204,GOVERNMENT OF REPUBLIC OF KORE,KOR,Republic of Korea,KOR_GOVT,Republic of Korea Government,(0.00%),"(3,953)"
Africa,205,GOVERNMENT OF ROMANIA,ROM,Romania,ROM_GOVT,Romania Government,0.00%,0
Africa,207,GOVERNMENT OF RWANDA,RWA,Rwanda,RWA_GOVT,Rwanda Government,0.00%,0
Africa,208,GOVERNMENT OF SOUTH AFRICA,ZAF,South Africa,ZAF_GOVT,South Africa Government,0.05%,"914,527"
Africa,212,GOVERNMENT OF SEYCHELLES,SYC,Seychelles,SYC_GOVT,Seychelles Government,0.00%,0
Africa,214,GOVERNMENT OF SIERRA LEONE,SLE,Sierra Leone,SLE_GOVT,Sierra Leone Government,0.00%,0
Africa,216,GOVERNMENT OF SLOVAK REPUBLIC,SVK,Slovak Republic,SVK_GOVT,Slovak Republic Government,0.00%,0
Africa,220,GOVERNMENT OF SPAIN,ESP,Spain,ESP_GOVT,Spain Government,0.13%,"2,423,792"
Africa,225,GOVERNMENT OF SAO TOME AND PRI,STP,Sao Tome and Principe,STP_GOVT,Sao Tome and Principe Governme,0.00%,0
Africa,227,GOVERNMENT OF THE REPUBLIC OF,SDN,Sudan,SDN_GOVT,Sudan Government,0.00%,0
Africa,230,GOVERNMENT OF SWAZILAND,SWZ,Swaziland,SWZ_GOVT,Swaziland Government,0.02%,"281,712"
Africa,231,GOVERNMENT OF SWEDEN,SWE,Sweden,SWE_GOVT,Sweden Government,0.13%,"2,425,158"
Africa,232,GOVERNMENT OF SWITZERLAND,CHE,Switzerland,CHE_GOVT,Switzerland Government,0.08%,"1,391,342"
Africa,236,GOVERNMENT OF THAILAND,THA,Thailand,THA_GOVT,Thailand Government,0.00%,0
Africa,237,GOVERNMENT OF TOGO,TGO,Togo,TGO_GOVT,Togo Government,0.16%,"2,964,162"
Africa,238,GOVERNMENT OF TOKELAU,TKL,Tokelau,TKL_GOVT,Tokelau Government,0.00%,0
Africa,242,GOVERNMENT OF TURKMENISTAN,TKM,Turkmenistan,TKM_GOVT,Turkmenistan Government,0.00%,0
Africa,244,GOVERNMENT OF TURKEY,TUR,Turkey,TUR_GOVT,Turkey Government,0.00%,"12,370"
Africa,247,GOVERNMENT OF UGANDA,UGA,Uganda,UGA_GOVT,Uganda Government,0.00%,0
Africa,248,GOVERNMENT OF UNITED KINGDOM,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,0.00%,"55,472"
Africa,250,ALLOCATED INTEREST,UN_AGY 1,UN AGENCY 1,UND,AGY_UNDETERMINED,0.00%,0
Africa,251,GOVERNMENT OF UNITED REPUBLIC,TZA,United Republic of Tanzania,TZA_GOVT,United Republic of Tanzania Go,0.00%,0
Africa,252,GOVERNMENT OF URUGUAY,URY,Uruguay,URY_GOVT,Uruguay Government,0.00%,0
Africa,253,GOVERNMENT OF UNITED STATES OF,USA,United States of America,USA_GOVT,United States of America Gover,0.11%,"2,038,085"
