"awardID","projectID","donorID","short_descr","long_descr","donor_type_lvl1","donor_type_lvl1_descr","donor_type_lvl3","donor_type_lvl3_descr"
"00036222","00049865","11377","PETRINJA","PETRINJ A TOWN","PROG CTY","PROGRAMME COUNTRY","HRV","Croatia"
"00036222","00075529","11377","PETRINJA","PETRINJ A TOWN","PROG CTY","PROGRAMME COUNTRY","HRV","Croatia"
"00036222","00051421","11383","KNIN","KNIN CITY","PROG CTY","PROGRAMME COUNTRY","HRV","Croatia"
"00036222","00049865","11386","Glina","GLINA TOWN","PROG CTY","PROGRAMME COUNTRY","HRV","Croatia"
"00036222","00075529","11436","KARLOVAC C","KARLOVAC COUNTY","PROG CTY","PROGRAMME COUNTRY","HRV","Croatia"
"00036222","00073912","11438","NCC","Croatian National CompetitivenessCouncil","PROG CTY","PROGRAMME COUNTRY","HRV","Croatia"
"00036222","00051421","11440","UDBINA","UDBINA MUNICIPALITY","PROG CTY","PROGRAMME COUNTRY","HRV","Croatia"
"00036222","00051421","11441","SIBENIK","SIBENIK_KNIN COUNTY","PROG CTY","PROGRAMME COUNTRY","HRV","Croatia"
"00036222","00051421","11442","LIKA","LIKA-SENJ COUNTY","PROG CTY","PROGRAMME COUNTRY","HRV","Croatia"
"00036222","00075529","11442","LIKA","LIKA-SENJ COUNTY","PROG CTY","PROGRAMME COUNTRY","HRV","Croatia"
"00036222","00075529","11618","KARLOVAC","KARLOVAC TOWN","PROG CTY","PROGRAMME COUNTRY","HRV","Croatia"
"00036222","00079043","11637","FOND VUKOV","FOND ZA OBNOVU I RAZVOJ GRADA","PRIV","PRIVATE SECTOR","PRIV_INTL 1","PRIVATE SECTOR INTERNATIONAL 1"
"00036231","00039276","00248","UKM","GOVERNMENT OF UNITED KINGDOM","NON_PROG CTY","NON_PROGRAMME COUNTRY","GBR","United Kingdom"
"00036232","00039277","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00036237","00039282","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00036237","00039282","10003","GEFTrustee","Global Environment Fund Trustee","MULTI_AGY","MULTI-LATERAL AGENCY","GEFTRUSTEE","UN AGENCY 1"
