"hq_co","bureau","operatingunit","awardID","award_title","award_description","start_date","end_date","institutionid","inst_descr","inst_type","inst_type_descr","fiscal_year","budget","expenditure"
"CO","RBAS","JOR","00060521","Capacity Development for the Parliament","Capacity Development Project for the Members and Staff of the Lower House of Parliament.","2010-09-01 00:00:00","2012-12-31 00:00:00","01664","National Execution","GOV","Gov Counterpart Institution","2011","172890","143333.84"
"CO","RBAS","JOR","00061055","Implementation of Phase I of a comprehensive PCB managem","Implementation of Phase I of a comprehensive PCB management in Jordan.","2011-01-01 00:00:00","2013-12-31 00:00:00","01664","National Execution","GOV","Gov Counterpart Institution","2011","180300","51437.89"
"CO","RBAS","JOR","00061159","Design and implement IIF for sustainable land management","Supporting the Implementation of the Integrated Investment Framework for 
Combating Desertification in Jordan (IIF)","2011-01-01 00:00:00","2012-12-31 00:00:00","01664","National Execution","GOV","Gov Counterpart Institution","2011","22900","293"
"CO","RBAS","JOR","00061182","Enhance capacities of Political Parties","Support the Ministry of Political Development to increase capacities of the Political Parties Directorate, to enhance capacities of political parties, and increase public engagement with political parties.","2011-01-01 00:00:00","2013-12-31 00:00:00","01664","National Execution","GOV","Gov Counterpart Institution","2011","171246","158239.65"
"CO","RBAS","JOR","00061453","Legal Empowerment of the Poor","Acceleration of MDG 1 Through Legal Empowerment of the Poor Initiative in Jordan.","2011-03-20 00:00:00","2012-12-31 00:00:00","01664","National Execution","GOV","Gov Counterpart Institution","2011","100000","35422.15"
"CO","RBAS","JOR","00061764","Mainstreaming marine biodiversity conservation","Mainstreaming marine biodiversity conservation into coastal zone management in the Aqaba Special Economic","2011-07-01 00:00:00","2014-06-30 00:00:00","01664","National Execution","GOV","Gov Counterpart Institution","2011","16500","12288"
"CO","RBAS","JOR","00061985","Disaster Risk Reduction & Climate Change","Enhancing Institutional Capacities to reduce Disaster Risk and to integrate Climate Change in the Hashemite Kingdom of Jordan.","2011-11-01 00:00:00","2013-07-31 00:00:00","01664","National Execution","GOV","Gov Counterpart Institution","2011","31900","18209.5"
"CO","RBAS","KWT","00057360","Technical & Advisory services to SCPD"," ","2009-05-01 00:00:00","2011-12-31 00:00:00","01752","National Execution","GOV","Gov Counterpart Institution","2011","4057740.21","1408096.44"
"CO","RBAS","KWT","00058304","Dar Al Athar Al-Islamiyah","Training for Restoration and Display of the Dar Al-Athar Al-Islamiyyah Collection at the Kuwait National Museum","2010-01-01 00:00:00","2012-12-31 00:00:00","01752","National Execution","GOV","Gov Counterpart Institution","2011","256156.98","245359.31"
"CO","RBAS","KWT","00058315","Early Learning & Disability Challenges Programme","Early Learning & Disability Challenges Programme","2009-01-01 00:00:00","2013-12-31 00:00:00","01752","National Execution","GOV","Gov Counterpart Institution","2011","810861.32","810615.33"
"CO","RBAS","KWT","00058316","Implementation of the National Traffic Strategy","Implementation of the Comprehensive and Long Term 
National Traffic and Transport Sector Strategy for Kuwait.","2009-01-01 00:00:00","2013-12-31 00:00:00","01752","National Execution","GOV","Gov Counterpart Institution","2011","334660.28","319267.39"
"CO","RBAS","KWT","00059241","KIEM-Kuwait Integrated Environmental Management","Providing technical expertise and international best expertise to support and implementation of  a regulatory based integrated management system KIEM","2010-01-01 00:00:00","2014-12-31 00:00:00","01752","National Execution","GOV","Gov Counterpart Institution","2011","370800","367356.17"
"CO","RBAS","KWT","00059952","Preparatory Assistance for the formulation of country pr","Prepatory Assistance for the formulation of country programme action plan project documents","2010-05-01 00:00:00","2011-12-31 00:00:00","99999","UNDP","UND","UNDP","2011","201907.68","190085.74"
"CO","RBAS","KWT","00060138","Economic Empowerment of Kuwaiti Women Project","Economic Empowerment of Kuwaiti Women","2011-01-01 00:00:00","2014-12-31 00:00:00","01752","National Execution","GOV","Gov Counterpart Institution","2011","128750","106987.37"
