awardID,lat,lon,precision,type,scope
57492,-34.61315,-58.37723,1,1,4
50353,-34.61315,-58.37723,1,1,4
58078,-34.61315,-58.37723,1,1,4
60097,-34.61315,-58.37723,1,1,4
59338,-34.61315,-58.37723,1,1,4
60090,-34.61315,-58.37723,1,1,4
45257,-27.36708,-55.89608,4,2,2
33919,-26.17753,-58.17814,4,2,2
62448,-27.33333,-62.5,3,1,1
50584,-31.63333,-60.7,3,2,3
57948,-34.61315,-58.37723,1,1,1
61903,-38.95161,-68.0591,3,1,2
45267,-38.95161,-68.0591,3,1,1
43829,-44,-68,4,1,2
58643,-28.36,-65.17,9,1,5
45257,-27.36708,-55.89608,4,2,2
34316,-40,-67,4,1,2
62126,-24.19456,-65.29712,3,2,2
34026,-28.46957,-65.78524,4,2,2
33919,-26.17753,-58.17814,4,2,2
47126,-31.5375,-68.53639,3,1,1
45257,-27.36708,-55.89608,4,2,2
34026,-28.46957,-65.78524,4,2,3
34026,-28.46957,-65.78524,4,2,3
45257,-27.36708,-55.89608,4,2,2
59399,-31.63333,-60.7,3,1,2
50584,-31.63333,-60.7,3,2,3
37462,-27.79511,-64.26149,4,2,2
33919,-26.17753,-58.17814,4,2,2
45257,-27.36708,-55.89608,4,2,3
45257,-27.36708,-55.89608,4,2,3
33919,-26.17753,-58.17814,4,2,2
11214,-26.82414,-65.2226,4,2,2
61993,-34.61315,-58.37723,1,1,2
49410,-28.281,-65.476,3,1,4
49410,-28.281,-65.476,3,1,2
51430,39.9563,44.5506,3,1,3
51430,39.9563,44.5506,3,1,3
11261,40.18,44.52,3,2,3
51430,39.9563,44.5506,3,1,3
11261,40.18,44.52,3,2,3
51430,39.9563,44.5506,3,1,3
11261,40.18,44.52,3,2,3
51430,39.9563,44.5506,3,1,3
51430,39.9563,44.5506,3,1,3
11261,40.18,44.52,3,2,3
60834,40.16557,44.29462,3,1,1
51430,39.9563,44.5506,3,1,3
51430,39.9563,44.5506,3,1,3
51430,39.9563,44.5506,3,1,3
51430,39.9563,44.5506,3,1,3
11261,40.18,44.52,3,2,3
51430,39.9563,44.5506,3,1,3
11261,40.18,44.52,3,2,3
51430,39.9563,44.5506,3,1,3
51430,39.9563,44.5506,3,1,3
11261,40.18,44.52,3,2,3
51430,39.9563,44.5506,3,1,3
51430,39.9563,44.5506,3,1,3
62220,40.184,44.5011,3,2,1
51430,39.9563,44.5506,3,1,3
36208,40.18,44.52,3,2,1
11261,40.18,44.52,3,2,3
57347,41.11984,45.453787,4,2,2
61428,40.3,47.3,9,1,4
61827,40.389819,49.835486,1,1,1
62257,40.384213,49.845314,3,1,1
60785,40.444857,49.869003,4,1,2
60711,40.445902,49.866154,3,1,1
59474,40.374847,49.818106,3,1,3
44982,40.371397,49.816818,3,1,3
42114,40.3688,49.8211,3,1,1
11280,40.3629,49.8297,3,1,1
37062,40.377642,49.832482,1,1,1
58141,40.368226,49.832268,1,1,1
58141,40.368226,49.832268,1,1,1
59474,40.374847,49.818106,3,1,3
57347,41.11984,45.453787,4,2,3
59474,40.374847,49.818106,3,1,3
44982,40.371397,49.816818,3,1,3
58496,41.095912,45.36581,1,1,1
59474,40.374847,49.818106,3,1,3
44982,40.371397,49.816818,3,1,3
59474,40.374847,49.818106,3,1,3
42114,40.3688,49.8211,3,1,3
57347,41.11984,45.453787,4,2,3
59474,40.374847,49.818106,3,1,3
59474,40.374847,49.818106,3,1,3
44982,40.371397,49.816818,3,1,3
59474,40.374847,49.818106,3,1,3
60711,40.445902,49.866154,3,1,2
39612,-3.11667,29.4,4,2,3
39512,-3.11667,29.4,4,2,3
39512,-3.11667,29.4,4,2,3
39512,-3.11667,29.4,4,2,3
39512,-3.11667,29.4,4,2,3
39512,-3.11667,29.4,4,2,3
47384,-3.5,30,9,2,3
46523,-3.5,30,9,2,3
46523,-3.5,30,9,2,3
58730,-3.5,30,9,2,3
39612,-3.11667,29.4,4,2,3
39512,-3.11667,29.4,4,2,3
39512,-3.11667,29.4,4,2,3
39512,-3.11667,29.4,4,2,3
39512,-3.11667,29.4,4,2,3
39512,-3.11667,29.4,4,2,3
47079,-3.5,30,9,2,3
57554,-3.5,30,9,2,3
61280,-3.5,30,9,1,4
60962,-3.5,30,9,1,4
49336,-3.5,30,9,1,4
49336,-3.5,30,9,1,4
49336,-3.5,30,9,1,4
45800,-3.5,30,9,1,4
40300,-3.5,30,9,1,4
39994,-3.5,30,9,1,4
37475,-3.5,30,9,1,4
35744,-3.5,30,9,1,4
39612,-3.11667,29.4,4,2,3
39512,-3.11667,29.4,4,2,3
39512,-3.11667,29.4,4,2,3
39512,-3.11667,29.4,4,2,3
39512,-3.11667,29.4,4,2,3
39512,-3.11667,29.4,4,2,3
58730,-3.5,30,9,2,3
50318,-3.5,30,9,2,3
39612,-3.11667,29.4,4,2,3
39512,-3.11667,29.4,4,2,3
39512,-3.11667,29.4,4,2,3
39512,-3.11667,29.4,4,2,3
39512,-3.11667,29.4,4,2,3
39512,-3.11667,29.4,4,2,3
46523,-3.5,30,9,2,3
46523,-3.5,30,9,2,3
50318,-3.5,30,9,2,3
49687,-3.5,30,9,2,3
49687,-3.5,30,9,2,3
43773,-3.5,30,9,2,3
43773,-3.5,30,9,1,4
45116,-3.5,30,9,2,3
59849,-3.5,30,9,2,3
59157,-6,29.5,3,2,3
46689,-3.5,30,9,2,3
11342,-3.5,30,9,2,3
46663,-3.5,30,9,2,3
60803,-3.5,30,9,2,3
59107,-3.5,30,9,2,3
11344,-3.5,30,9,2,3
58730,-3.5,30,9,2,3
46630,-3.5,30,9,2,3
56879,-3.5,30,9,2,3
46523,-3.5,30,9,2,3
59107,-3.5,30,9,2,3
50318,-3.5,30,9,2,3
57554,-3.5,30,9,2,3
37477,-3.5,30,9,2,3
46514,-3.5,30,9,2,3
58730,-3.5,30,9,2,3
46514,-3.5,30,9,2,3
46601,-3.5,30,9,2,3
25482,-3.5,30,9,2,3
46514,-3.5,30,9,2,3
56912,9.73027,2.45032,3,2,3
56912,9.73027,2.45032,3,2,3
51397,9.5,2.25,9,2,3
50805,9.5,2.25,9,2,3
51279,9.5,2.25,9,2,3
50805,9.5,2.25,9,2,3
61195,11.65022,2.5404,3,2,2
56912,9.73027,2.45032,3,2,3
56912,9.73027,2.45032,3,2,3
62713,9.5,2.25,9,2,4
