hq_co,bureau,operatingunit,awardID,award_title,award_description,start_date,end_date,institutionid,inst_descr,inst_type,inst_type_descr,fiscal_year,budget,expenditure
CO,PAPP,PAL,35888,Emergency Small Scale Projects,"The project aims at assisting communities mostly hit by the  Israeli-imposed Separation wall in the  West Bank. It covers rehabilitation and reconstruction of  water and sewage networks, roads, electricity networks, and small scale municipal works.",2004-01-01 00:00:00,2012-12-31 00:00:00,2389,UN Office for Project Services,ACY,UN Agency,2011,100950,100232.54
CO,PAPP,PAL,37063,PAL - Support to Communications,The project was established in 2004 to support the communications unit in performing its core functions. The communications unit is responsible for all facets of communication at UNDP/PAPP.,2004-10-14 00:00:00,2012-12-31 00:00:00,2389,UN Office for Project Services,ACY,UN Agency,2011,300000,279692.71
CO,PAPP,PAL,37586,"PAL/ Poverty Oriented Infras,Emp, KFW III - WB",KFW III - Smale Scale Works,2004-01-01 00:00:00,2011-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,40000,38473.77
CO,PAPP,PAL,39137,SPEP- Support to the Palestinain Education Programme,SPEP - Supporting the Palestinian Educational Programme,2005-01-01 00:00:00,2011-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,298093.26,268244.28
CO,PAPP,PAL,41098,Poverty Oriented Infrastructure thru EPG'S - KFW V-VII,Poverty Oriented Infrastructure through Employment Generation Programme Phases V  - VII  included approximately 300 smale scale infrastructure works in the West Bank and Gaza Strip.,2006-01-01 00:00:00,2013-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,8813880.17,8287296.9
CO,PAPP,PAL,41326,Emergency Humanitarian Aid- Schools CAP II,"The programme aims to provide immediate humanitarian releif to Palestinians through the construction, rehabilitation and equipping of primary and secondary public schools in the WB.",2005-01-01 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,288629,219935.39
CO,PAPP,PAL,41489,PAL/ UNV- Reform Intervention Programme,To support the commitment of the Palestinian Authority to strengthen the ongoing process of good governance as the institutional basis for equitable development & Poverty alleviation.,2005-01-01 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,98627.55,96561.15
CO,PAPP,PAL,41527,PAL/ Construction of Demolished Homes for NON REFUGEE,PAL/ Construction of Demolished Homes for NON REFUGEE Families in Gaza Strip,2005-01-01 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,2556550.46,2555294.23
CO,PAPP,PAL,41529,Construction of Sewage Treatment Plant in Khan Younis,"The Construction of  Sewage Treatment Plant and Mian Pressure Line in Khan Younis in the Gaza Strip .
The project aims at protecting the public health and improving the environmental conditions of Khan Younis residents.",2005-01-01 00:00:00,2015-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,63468.12,63468.98
CO,PAPP,PAL,42278,PAL/ Participatory Rural Planning & Development (jenin),"The anticipated overall objective of the PRDP Project is to institute participatory planning and community development at the regional (i.e. governorate) level through strengthening the planning capacity for organizations and authorities at national, reg",2006-01-01 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,1070,518.15
CO,PAPP,PAL,42831,PAL/ Construction of 300 Housing Units in Rafah,"The aim of this project is the Construction of 300 residential units for 300 families, whom their houses were demolished by the Israeli forces during the invasions in Rafah city.",2006-01-01 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,2504503.5,2504330.95
CO,PAPP,PAL,44201,DEPRIVED fAMILIES ECONOMIC EMPOWERMENT PROGRAMME DEEP,DEPRIVED fAMILIES ECONOMIC EMPOWERMENT PROGRAMME DEEP to empower and graduate the depressed & deprived Palestinian families (cronic & hard hit poor ) from being receipients of humanitarian assistance to providers of income.,2006-01-01 00:00:00,2015-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,12752152.29,9935556.94
CO,PAPP,PAL,44516,PAL/ AVAIN FLU RESPONCE- Norway,"Avian Flu Resonse - Joint programme between participating UN Organizations WHO, FAO, UNFPA, UNDP and UNICEF have agreed to establish a coordination mechanism",2006-01-01 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,19074.31,4450.48
CO,PAPP,PAL,44759,Emergency Water Supply and Rehabilitation Programme,"The Project includes the rehabilitation of the water supply facilities in the Rafah and North Governorates in the Gaza Strip, which would contribute to the improvement of the living conditions of around 300,000 inhabitatants.",2006-08-03 00:00:00,2013-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,571481.96,544545.95
CO,PAPP,PAL,44878,PAL/ Seeds for Development Strategy Formulated for PAPP,Seeds for Development Strategy Formulated for PAPP. This project is a management support project to the Programme; it works on strengthening the capacities of the projects from the financial and managerial aspects.,2006-08-17 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,2913222.9,2390308.04
CO,PAPP,PAL,45243,PAL/ Avian Influenza Prevention and control-TF057369,"The overall objective is to minimize the threat posed to humans by highly pathogenic avian influenza and to prepare for, control, and respond to influenza pandemic and other infectious disease emergencies in humans.",2006-10-08 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,529100,467431.47
CO,PAPP,PAL,45689,Rehabilitation of Destroyed Bridges in the Gaza Strip,"The aim of the Project is the rehabilitation of destroeyd three bridges in the middle area of Gaza Strip with total budget of US$ 985,872 provided by the Government of Brazil.",2006-12-03 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,488539.87,466947.73
CO,PAPP,PAL,45709,Support to peace initiatives in Local Governance-MAP,Logisical support for MAP,2006-12-01 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,43377.8,29446.44
CO,PAPP,PAL,45955,UAE Housing Project in the West Bank,Reconstruction of up to 100  Palestinian Homes in the West Bank,2007-01-01 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,434013.45,344879.59
CO,PAPP,PAL,46066,Civil Service Leadership Development Programme(GPC),this programme built ensure that senior civil servants were provided with the necessary skills and competence to carry out their roles effectively in support of the overall national development goals of the Palestinian Authority (PA).,2007-01-15 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,299867.46,224246.42
CO,PAPP,PAL,46088,EC/UNDP Governance Strategy Group (GSG) Coordinator,Support to the Aid Coordination Process and Aid Effectiveness in the oPt – Governance Strategy Group Coordinator,2007-01-01 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,343219.63,282763.84
CO,PAPP,PAL,46247,PAL\Brucellosis Control Project II - Spain,"The project was to contribute to a measurable reduction of the causes and incidence of Brucellosis in small ruminants, predominantly, sheep and goats, as well as humans in the PTs.",2007-01-01 00:00:00,2013-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,246240,103124.08
CO,PAPP,PAL,46310,Support to the Presidents Office Phase II,"""The project aims towards development of systems and procedures for decentralized governance of the Office of President by developing the effectiveness in its operations, coupled with civil works for the Presidential Kitchen and Premises.",2007-01-31 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,144036.79,140344.16
CO,PAPP,PAL,46328,PAL/ Voulnteers for Development (TOKTEN),The project aims at establishing a strategic framework of intervention for the Transfer of Knowledge through Expatriate Nationals (TOKTEN) programme,2007-01-01 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,705505.91,270139.15
CO,PAPP,PAL,47037,UN - Special Co-ordinator,"MAXIMIZING IMPACT - UNSCO	Maximising Impact 2010-2011, the Goal of the Project is Maximizing the impact of UNSCO in the oPt through ensuring a level of alignment between the UN, the LACS structure, the PA, local donor structures.",2007-04-01 00:00:00,2013-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,742763,674932.74
CO,PAPP,PAL,47388,Emergency Support to Civil Society,Islamic Development Bank Grant in support of Civil Societies in East Jerusalem in the form of rehabilitation work and provision of needed equipment and furniture,2007-06-04 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,673370.55,599754.24
CO,PAPP,PAL,47623,Community-Based Women Empowerment in Gaza,"Empowering Disadvantaged Women and their families in Emergency and Post - Crisis Situations, the output is Women in Jabalia and Nuseirat are trained in providing sustainable social and economic services.",2007-07-01 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,155438.17,133871.06
CO,PAPP,PAL,47717,AFD Mental Health,"The project seeks to improve the mental health condition of Palestinian men and women through improving the access to mental health facilities, developing capacity of mental health care staff and improving the quality of services.",2007-08-01 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,986750,796003.61
CO,PAPP,PAL,47798,Integrated Rural Development,Integrated Rural Development Project in Hebron and Bethlehem Districts,2007-07-31 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,134018,111869.58
CO,PAPP,PAL,47872,Support to the Office of the Quartet Representative,Providing Operational and Logistical Support to the Office of the Quartet Representative – OQR Team – Office of Mr. Tony Blair- and staff based in Jerusalem,2007-08-01 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,6097526.16,5855541
CO,PAPP,PAL,48267,Developing the capacities of the HJC,The project seeks to develop the institutional capacities of the High Judicial Council through TA.,2007-10-12 00:00:00,2013-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,121425.77,125683.66
CO,PAPP,PAL,48824,EMRI - Emergency Medical Relief Initiative,Emergency Medical Relief Initiative for the Public Health Care Facilities (EMRI),2008-01-01 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,1949999.65,1804379.43
CO,PAPP,PAL,48868,Jericho - Taybeh Road Rehabilitation,The project rehabilitated a dangerous portion of approximately 1.5 kilometers of the jericho taybeh road.,2007-12-17 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,77487,62481.58
CO,PAPP,PAL,49552,Gender Equality and Women's  Empowerment in the oPt,"As part of the (MDG) six UN Agencies, namely UNDP/PAPP, UN-Women, ILO, UNESCO, UNFPA and UNRWA, are implementing a Joint Programme on the promotion of Palestinian women’s social, economic and political empowerment",2008-09-09 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,783010.7,788498.15
CO,PAPP,PAL,50122,Public Administration and Institutional Development,"Support to the development of institutional & individual capacities needed to execute core public management functions required to sustain the building of a national public service, within an environment of open, structured, & accountable government.",2008-05-26 00:00:00,2013-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,699091.47,660388.29
CO,PAPP,PAL,50123,Emergency Supply & Advanced Plan for Early Recovery-Gaza,"Emergency Supply & Advanced Plan. for Early Recovery-Gaza.  This project aims to support advanced UN ER co.ord. and inter-agency programming, for comprehensive and multi-stakeholders.",2008-06-01 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,10960959.45,9636155.42
CO,PAPP,PAL,50848,SPORTS PROGRAMME,Supporting Programme Opportunities in Recreational and Team Sports (SPORTS). The project includes the construction of an indoor Sports Facility in Ramallah and the establishment of the Palestinian Youth Sports League (PYSL),2008-09-16 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,677701,499965.42
CO,PAPP,PAL,50897,Promote cross- boundary Wastewater management in oPt,"Peace Building is promoted and enhanced through management of cross boundary waste water in the three towns of Bartaa' Sharqieh, Habla and Baqa Sharqieh located at the northern part of the West Bank.",2009-05-01 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,4318373.58,3359670.3
CO,PAPP,PAL,50942,Support Physical Disability Rehabilitation in Gaza,Support to Community Colleges and NGOs working in the Field of Physical Disability Rehabilitation to Build and Enhance their Services and Human Capacities.,2010-11-01 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,153787.35,143554.35
CO,PAPP,PAL,51015,Construction of Palestinian Ministry of Foreign Affair,"Construction of the 9800 Meter Square of the new Palestinian Ministry of Foreign Affairs with a kind support of the China Ministry of Commerce, the Grant of the Project is 11 USD Million, Construction of Civil works started on 16 Dec 2010,",2008-10-20 00:00:00,2013-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,1996254.44,1877763.76
CO,PAPP,PAL,51140,Improve food security in marginalized area in Gaza Strip,Assist in food security improvement in the Gaza Strip,2008-10-01 00:00:00,2012-06-30 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,668491.82,664369.3
CO,PAPP,PAL,51220,GFATM HIV/AIDS & TB,"The Global Fund to Fight AIDS, Tuberculosis and Malaria funded two projects one for AIDS and one for Tuberculosis in the oPt",2008-10-01 00:00:00,2014-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,1822831.57,1445659.5
CO,PAPP,PAL,56673,Local Governance Support Programme,"This Programme aims at contributing to the development of a democratic, decentralized, transparent and inclusive system of Local Governance in the oPt that is more responsive and capable of delivering quality services to local communities.",2009-01-01 00:00:00,2013-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,431944.58,286637.46
CO,PAPP,PAL,57098,Construction of 100 Housing Units,Construction 100 Housing Units to Re housing the Affected Palestinian Families in Gaza Strip.,2009-04-01 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,268593.59,268581.99
CO,PAPP,PAL,57171,Rehabilitation of the Agro Industrial Park Road,The project  will consist of the construction of a 1.8 kilometer roadway from the New Jericho Wholesale Market to the proposed Jericho Agro Industrial Park.,2009-04-07 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,109361,77619
CO,PAPP,PAL,57409,Supporting the Rule of Law and Access to Justice,Supporting the Rule of Law and Access to Justice,2009-11-01 00:00:00,2013-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,9296599.29,7050734.92
CO,PAPP,PAL,57418,Mainstream Environment within oPt,the project supports government institutions such as environment quality authority and water authority to promote environmental awareness and Mainstreaming,2009-06-01 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,39501.95,19336.31
CO,PAPP,PAL,57869,"GEF - SMALL GRANTS Programme ""SGP""",the project aims at developing the capacities of local NGos in generating environmental and livelihood benefits for local communities through implementing initiatives that addressed the five global environmental problems,2009-01-01 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,183221.04,157850.08
CO,PAPP,PAL,58277,P1 - Construction of the Jericho Agro-Industrial Park,"This project document will encompass the works prior to Stage I, and will only include excavation, land clearing, and leveling of the future Jericho Agro Industrial park. Approximately 18,000 workdays will be generated by the project.",2009-09-10 00:00:00,2013-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,1571090.07,1564428.56
CO,PAPP,PAL,59090,Italian Emergency Support Programme for Gaza & WB,"This Emergency programme will include the following projects:
1.	Improvement of Water Quality in Deir Al Balah
2.	Solid Waste Management and Composting in the Beit Lahia
3.	Implementation and strengthening of the three counselling centers in Hebron",2010-10-01 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,510033.19,508326.94
CO,PAPP,PAL,59143,PAL-Construction of School in Gaza,22 classrooms school with the necessary facilities constructed.,2010-01-01 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,526524.87,526525.97
CO,PAPP,PAL,59427,MDG Culture & Development Programme in the oPt,"This joint culture and tourism development programme is implemented by UNDP, UNESCO, FAO & UNIFEM in partnership with the Palestinian Ministries of Culture, Tourism & Antiquities, Womens Affairs, and Agriculture.",2010-02-23 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,231718.43,109396.97
CO,PAPP,PAL,59876,Peace Building in the oPt,UNDP/PAPP,2010-05-05 00:00:00,2013-06-30 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,864979.26,864844.42
CO,PAPP,PAL,60186,Reconciliation & Social Cohesion,"Facilitating Palestinian National Reconciliation & Promoting Social Cohesion. Outcome 1, Output 1.1.2 Crisis & conflict prevented & mitigated.",2010-06-30 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,1382112,825551.35
CO,PAPP,PAL,60252,Improve the Capacity of CMWU  for Monitoring the Water,Improve the Capacity of CMWU  for Monitoring the Quality of Water Supply in the Gaza Strip,2010-07-11 00:00:00,2012-12-31 00:00:00,99999,UNDP,UND,UNDP,2011,302699.5,141337.58
CO,PAPP,PAL,60256,Irrigation Systems and Water Resources in the West Bank,Development of Irrigation Systems and Water Resources in the Jordan Valley and the North Western Districts of West Bank,2010-07-12 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,221973.64,73862.87
CO,PAPP,PAL,60310,Head of GAZA Office,Head of Gaza Office,2010-07-01 00:00:00,2012-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,332042.76,323193.37
CO,PAPP,PAL,60615,Combat Desertification in oPt,The specific objective is to assist the Palestinian Authority  to develop  a National Strategy and Action Programme (NSAP) for combating desertification in oPt,2010-01-01 00:00:00,2012-06-30 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,58864.66,43975.63
CO,PAPP,PAL,60621,Support to the Electoral Cycle,Support to the Central Elections Commissions over Electoral Cycle,2010-09-29 00:00:00,2013-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,688348,144502.29
CO,PAPP,PAL,60779,Sharafat Housing project,"With a Grant of US$ 1.5 million the project will contribute to improve the physical and social infrastructure services in the selected areas of the Jerusalem area.Activities will consist of Landscaping, Construction and Finishing Works",2010-11-08 00:00:00,2013-06-30 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,454324.47,454906.83
CO,PAPP,PAL,60907,Access Coordination and MonitoringSupport - Gaza,The principal goal of the Access Coordination and Monitoring Support to Gaza project is to facilitate and account for the entry materials used for UNDP/PAPP projects in Gaza in support of the recovery and reconstruction process.,2010-10-18 00:00:00,2012-12-31 00:00:00,2386,UNDP (Direct Execution),UND,UNDP,2011,1735358.83,902851.98
CO,PAPP,PAL,61270,JERUSALEM DEVELOPMENT - ISLAMIC DEVELOPMENT BANK,"JERUSALEM DEVELOPMENT PROGRAMME IS TO DEVELOPE THE CAPACITY OF JERUSALEM CIVIL SOCIETY ORGANIZATIONS, REHABILITATION OF HOUSES, ECONOMIC EMPOWERMENT, LAND PROTECTION, & SUPPORT TO SMALL BUSINESSES AND ENTERPRISES",2011-01-01 00:00:00,2015-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,4564164.93,3487917.92
CO,PAPP,PAL,61276,Re-construction of totally damaged housing units in Gaza,Re-construction of 50 damaged houses from Northern Gaza Strip deploying self help approach,2011-02-10 00:00:00,2012-01-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,1832539.37,1832526.1
CO,PAPP,PAL,61765,EXPORT DEVELOPMENT IN THE WEST BANK PROJECT – CANADIAN I,UNDP and PalTrade will work  to ensure that Palestinian business owners receive urgently needed services and provide  high quality trade support services meeting the needs of Palestinian MSMEs and enabling their export success.,2011-04-28 00:00:00,2015-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,2115707.7,1211415.4
CO,PAPP,PAL,62322,Engineering Services – UN Programmes/Agencies,Renovation and Rehabilitation Works for Maternities and Primary Health Care Clinics (PHCCs) in the Gaza Strip,2011-08-10 00:00:00,2013-12-31 00:00:00,2388,UNDP - PAPP,UND,UNDP,2011,239839.07,151758.39
CO,RBA,AGO,11123,AMBRIZ PROJECT,Support to Artisanal Fishing and Community Reinforcement of the Productive Sector in Ambriz and Neighbourhood,2003-10-14 00:00:00,2011-12-20 00:00:00, ,,,,2011,9630,-886.51
CO,RBA,AGO,36249,Governance and Local Development Programme (GLDP),"The objective of the programme is to promote service delivery, socio-economic development and poverty reduction through improved decentralized governance and institutional capacity building at provincial and municipal level.",2004-07-30 00:00:00,2013-12-31 00:00:00,69,UNDP (Direct Execution),UND,UNDP,2011,2015181.51,1539070.62
CO,RBA,AGO,37249,Angola Enterprise Programme,"The project seeks to promote the development of a diverse, robust, micro, small and medium enterprise sector in Angola.",2004-01-01 00:00:00,2013-12-31 00:00:00,69,UNDP (Direct Execution),UND,UNDP,2011,1048385.82,792050.15
CO,RBA,AGO,40779,Support to National Tuberculosis Control Program,Strengthened institutional capacity to detected and treated TB cases,2005-07-01 00:00:00,2011-12-31 00:00:00,99999,UNDP,UND,UNDP,2011,83616.22,-363403.32
CO,RBA,AGO,40920,PIMS 65 IW FSP: Okavango River Basin,Environmental Protection and Sustainable Management of the Okavango River Basin,2005-01-01 00:00:00,2011-12-31 00:00:00,59,Food and Agriculture Organizat,ACY,UN Agency,2011,1,-1610.77
CO,RBA,AGO,41138,Reducing the Burden of HIV/AIDS in Angola,Reducing the Burden of HIV/AIDS in Angola,2005-08-01 00:00:00,2012-12-31 00:00:00,99999,UNDP,UND,UNDP,2011,7508058.43,7247112.02
CO,RBA,AGO,44353,Support to the National Strategic Plan of HIV/AIDS,UN Joint Programme of Support to the National Strategic Plan in the descentralization process of HIV/AIDS programme (UNDP),2007-01-01 00:00:00,2011-12-31 00:00:00,64,National Execution,GOV,Gov Counterpart Institution,2011,5189.63,1923.86
CO,RBA,AGO,44526,PIMS 3379 OP15 MSP: Sustainable Land Management,"This project was formulated to address the direct causes of land degradation namely Unsustainable Agriculture, Deforestation/unsustainable use of Forests, and",2006-10-01 00:00:00,2012-12-31 00:00:00,64,National Execution,GOV,Gov Counterpart Institution,2011,522501.36,344108.15
CO,RBA,AGO,44798,Reform & Modernization of Justice,Support to the Process of Reform and Modernization of Justice in Angola,2006-09-01 00:00:00,2011-12-31 00:00:00,64,National Execution,GOV,Gov Counterpart Institution,2011,3,0.83
CO,RBA,AGO,44904,Civic Education,"Expanding democratic participation, particulary among women, youth and other under -represented segments of society, through the increase of citizens' knowledge and awarness of their rights and responsabilities.",2006-10-23 00:00:00,2010-12-31 00:00:00,69,UNDP (Direct Execution),UND,UNDP,2011,75004,0
CO,RBA,AGO,45302,Capacity Development of National Institute for Deming,The project will assist INAD to enhance its role as National demining operator. The specific outcome of the project will be consolidated access and security for development efforts in Angola through developing INAD capacity.,2006-01-01 00:00:00,2012-04-30 00:00:00,69,UNDP (Direct Execution),UND,UNDP,2011,1124988.55,969069.86
CO,RBA,AGO,47708,Support to CNIDAH 2007-2008,Technical advice for the consolidation of  the National Intersectoral Commission for Humanitarian Demining and Assistance capacities.,2007-07-01 00:00:00,2012-03-31 00:00:00,64,National Execution,GOV,Gov Counterpart Institution,2011,157079.15,146851.54
CO,RBA,AGO,50950,Growing Sustainable Business Angola,"Growing Sustainable Business
for Poverty Reduction in Angola",2008-10-07 00:00:00,2013-12-31 00:00:00,69,UNDP (Direct Execution),UND,UNDP,2011,764771.4,228113.06
CO,RBA,AGO,50951,Entrepreneurship Curriculum Programme,Entrepreneurship Curriculum in Secondary Schools Programme,2009-01-01 00:00:00,2013-06-30 00:00:00,64,National Execution,GOV,Gov Counterpart Institution,2011,518516.44,418646.99
CO,RBA,AGO,57124,ANG/PHA/55/PRP/08-Prep. Phaseout Managem. Plan(HPMP),The document describes the proposed institutional arrangements and budgets for preparation of HCFC Phase-out Management Plan (HPMP) for Angola.,2009-03-30 00:00:00,2012-12-31 00:00:00,64,National Execution,GOV,Gov Counterpart Institution,2011,19581,9153.74
CO,RBA,AGO,57521,Urban & Peri-Urban Water & Sanitation Joint Programme,Urban and peri-urban water and sanitation joint programme management / Governance of water and sanittion in Angola's poor neighbourhoods,2009-03-20 00:00:00,2014-12-31 00:00:00,64,National Execution,GOV,Gov Counterpart Institution,2011,859153,453396.42
