iso3,abbrev,terr_id,name,lon,lat,terr_name
PRT,PRT,17,Azores Islands,-27.303296,38.332398,Azores Islands
PRY,PRY,191,Paraguay,-58.296144,-23.236211,Paraguay
PYF,FRA,84,French Polynesia,-146.418584,-14.854976,French Polynesia
QAT,QAT,198,Qatar,51.188069,25.297876,Qatar
REU,FRA,200,Reunion,55.53818,-21.12166,Reunion
ROU,ROU,201,Romania,24.969259,45.843615,Romania
RUS,RUS,202,Russian Federation,96.682513,61.991755,Russian Federation
RWA,RWA,203,Rwanda,29.917652,-1.997892,Rwanda
SAU,SAU,212,Saudi Arabia,44.545719,24.122888,Saudi Arabia
SDN,SDN,229,Sudan,29.99,15.99,Sudan
SEN,SEN,214,Senegal,-14.467654,14.366966,Senegal
SGP,SGP,219,Singapore,103.808051,1.351615,Singapore
SJM,NOR,231,Svalbard and Jan Mayen Islands,18.363468,78.828632,Svalbard and Jan Mayen Islands
SLB,SLB,222,Solomon Islands,159.634315,-8.918214,Solomon Islands
SLE,SLE,218,Sierra Leone,-11.791922,8.560285,Sierra Leone
SLV,SLV,72,El Salvador,-88.866512,13.736897,El Salvador
SMR,SMR,210,San Marino,12.458633,43.94364,San Marino
SOM,SOM,223,Somalia,47.570422,6.016284,Somalia
SRB,SRB,216,Serbia,20.805272,44.031498,Serbia
STP,STP,211,Sao Tome and Principe,6.736586,0.456979,Sao Tome and Principe
SUR,SUR,230,Suriname,-55.959266,4.458473,Suriname
SVN,SVN,221,Slovenia,14.826537,46.123564,Slovenia
SWE,SWE,233,Sweden,17.54623,64.877246,Sweden
SWZ,SWZ,232,Swaziland,31.497528,-26.562642,Swaziland
SYC,SYC,217,Seychelles,52.229899,-6.35437,Seychelles
SYR,SYR,235,Syrian Arab Republic,38.505132,35.013134,Syrian Arab Republic
TCA,GBR,249,Turks and Caicos Islands,-71.812947,21.836682,Turks and Caicos Islands
TCD,TCD,48,Chad,18.66448,15.361167,Chad
TGO,TGO,241,Togo,1.023161,8.748439,Togo
THA,THA,238,Thailand,101.017361,15.127036,Thailand
TJK,TJK,237,Tajikistan,71.350363,38.860256,Tajikistan
TKL,TKL,242,Tokelau,-171.85266,-9.195175,Tokelau
TKM,TKM,248,Turkmenistan,59.383984,39.122335,Turkmenistan
TLS,TLS,240,Timor-Leste,125.853675,-8.822976,Timor-Leste
TON,TON,243,Tonga,-174.836286,-20.40292,Tonga
TTO,TTO,244,Trinidad and Tobago,-61.253177,10.468641,Trinidad and Tobago
TUN,TUN,246,Tunisia,8.944619,33.9211,Tunisia
TUR,TUR,247,Turkey,35.179672,39.060595,Turkey
TUV,TUV,250,Tuvalu,178.557551,-7.827722,Tuvalu
TWN,CHN,236,Taiwan,120.950798,23.754013,Taiwan
TZA,TZA,255,Tanzania (United Republic of),34.823454,-6.270354,Tanzania
UGA,UGA,252,Uganda,32.386218,1.279963,Uganda
